timeseries/data_date,timeseries/unix_timestamp,timeseries/individuals
2022-02-24,1645660800,4844
2022-02-25,1645747200,6941
2022-02-26,1645833600,11995
2022-02-27,1645920000,15881
2022-02-28,1646006400,13035
2022-03-01,1646092800,12620
2022-03-02,1646179200,12466
2022-03-03,1646265600,11242
2022-03-04,1646352000,10784
2022-03-05,1646438400,12650
2022-03-06,1646524800,13496
2022-03-07,1646611200,13345
2022-03-08,1646697600,12442
2022-03-09,1646784000,12359
2022-03-10,1646870400,11316
2022-03-11,1646956800,10664
2022-03-12,1647043200,10363
2022-03-13,1647129600,9957
2022-03-14,1647216000,8495
2022-03-15,1647302400,7804
2022-03-16,1647388800,8099
2022-03-17,1647475200,7243
2022-03-18,1647561600,5175
2022-03-19,1647648000,5464
2022-03-20,1647734400,4409
2022-03-21,1647820800,3305
2022-03-22,1647907200,3370
2022-03-23,1647993600,3324
2022-03-24,1648080000,3614
2022-03-25,1648166400,3673
2022-03-26,1648252800,4215
2022-03-27,1648339200,3337
2022-03-28,1648425600,2741
2022-03-29,1648512000,2860
2022-03-30,1648598400,2817
2022-03-31,1648684800,2740
2022-04-01,1648771200,2747
2022-04-02,1648857600,3199
2022-04-03,1648944000,3121
2022-04-04,1649030400,1991
2022-04-05,1649116800,2274
2022-04-06,1649203200,2566
2022-04-07,1649289600,2789
2022-04-08,1649376000,3118
2022-04-09,1649462400,3595
2022-04-10,1649548800,3296
2022-04-11,1649635200,2465
2022-04-12,1649721600,2774
2022-04-13,1649808000,3224
2022-04-14,1649894400,3353
2022-04-15,1649980800,3110
2022-04-16,1650067200,2536
2022-04-17,1650153600,2068
2022-04-18,1650240000,2369
2022-04-19,1650326400,3133
2022-04-20,1650412800,3362
2022-04-21,1650499200,3111
2022-04-22,1650585600,3021
2022-04-23,1650672000,2043
2022-04-24,1650758400,1264
2022-04-25,1650844800,1967
2022-04-26,1650931200,2877
2022-04-27,1651017600,3482
2022-04-28,1651104000,3964
2022-04-29,1651190400,4014
2022-04-30,1651276800,4218
2022-05-01,1651363200,3311
2022-05-02,1651449600,2577
2022-05-03,1651536000,3260
2022-05-04,1651622400,2998
2022-05-05,1651708800,3310
2022-05-06,1651795200,3308
2022-05-07,1651881600,4084
2022-05-08,1651968000,3348
2022-05-09,1652054400,2131
2022-05-10,1652140800,2370
2022-05-11,1652227200,2694
2022-05-12,1652313600,2818
2022-05-13,1652400000,3057
2022-05-14,1652486400,3510
2022-05-15,1652572800,2750
2022-05-16,1652659200,2365
2022-05-17,1652745600,2578
2022-05-18,1652832000,3100
2022-05-19,1652918400,2797
2022-05-20,1653004800,3158
2022-05-21,1653091200,3660
2022-05-22,1653177600,2996
2022-05-23,1653264000,2052
2022-05-24,1653350400,2387
2022-05-25,1653436800,2754
2022-05-26,1653523200,2341
2022-05-27,1653609600,3111
2022-05-28,1653696000,3400
2022-05-29,1653782400,2803
2022-05-30,1653868800,2377
2022-05-31,1653955200,2723
2022-06-01,1654041600,2758
2022-06-02,1654128000,2400
2022-06-03,1654214400,2577
2022-06-04,1654300800,3354
2022-06-05,1654387200,2945
2022-06-06,1654473600,2180
2022-06-07,1654560000,2183
2022-06-08,1654646400,2492
2022-06-09,1654732800,2745
2022-06-10,1654819200,3110
2022-06-11,1654905600,3516
2022-06-12,1654992000,2570
2022-06-13,1655078400,2241
2022-06-14,1655164800,2713
2022-06-15,1655251200,3230
2022-06-16,1655337600,2736
2022-06-17,1655424000,3419
2022-06-18,1655510400,3728
2022-06-19,1655596800,3262
2022-06-20,1655683200,2446
2022-06-21,1655769600,2751
2022-06-22,1655856000,3107
2022-06-23,1655942400,3177
2022-06-24,1656028800,3487
2022-06-25,1656115200,3953
2022-06-26,1656201600,3100
2022-06-27,1656288000,2539
2022-06-28,1656374400,3227
2022-06-29,1656460800,3341
2022-06-30,1656547200,3445
2022-07-01,1656633600,3134
2022-07-02,1656720000,3382
2022-07-03,1656806400,3142
2022-07-04,1656892800,2447
2022-07-05,1656979200,2601
2022-07-06,1657065600,3293
2022-07-07,1657152000,2498
2022-07-08,1657238400,2983
2022-07-09,1657324800,3263
2022-07-10,1657411200,2900
2022-07-11,1657497600,2160
2022-07-12,1657584000,2348
2022-07-13,1657670400,3144
2022-07-14,1657756800,3222
2022-07-15,1657843200,3110
2022-07-16,1657929600,3553
2022-07-17,1658016000,3303
2022-07-18,1658102400,2181
2022-07-19,1658188800,2541
2022-07-20,1658275200,2762
2022-07-21,1658361600,2470
2022-07-22,1658448000,2321
2022-07-23,1658534400,2976
2022-07-24,1658620800,2882
2022-07-25,1658707200,1941
2022-07-26,1658793600,2002
2022-07-27,1658880000,2589
2022-07-28,1658966400,2907
2022-07-29,1659052800,3347
2022-07-30,1659139200,3551
2022-07-31,1659225600,3504
2022-08-01,1659312000,2366
2022-08-02,1659398400,2693
2022-08-03,1659484800,2791
2022-08-04,1659571200,2639
2022-08-05,1659657600,2695
2022-08-06,1659744000,3581
2022-08-07,1659830400,3271
2022-08-08,1659916800,2307
2022-08-09,1660003200,2399
2022-08-10,1660089600,3177
2022-08-11,1660176000,2995
2022-08-12,1660262400,3111
2022-08-13,1660348800,3593
2022-08-14,1660435200,3730
2022-08-15,1660521600,2567
2022-08-16,1660608000,2969
2022-08-17,1660694400,3126
2022-08-18,1660780800,3257
2022-08-19,1660867200,3448
2022-08-20,1660953600,3721
2022-08-21,1661040000,3466
2022-08-22,1661126400,3018
2022-08-23,1661212800,3215
2022-08-24,1661299200,3560
2022-08-25,1661385600,3030
2022-08-26,1661472000,3293
2022-08-27,1661558400,3722
2022-08-28,1661644800,2948
2022-08-29,1661731200,2987
2022-08-30,1661817600,3259
2022-08-31,1661904000,3248
2022-09-01,1661990400,2449
2022-09-02,1662076800,3202
2022-09-03,1662163200,3946
2022-09-04,1662249600,3394
2022-09-05,1662336000,2649
2022-09-06,1662422400,2576
2022-09-07,1662508800,3046
2022-09-08,1662595200,2750
2022-09-09,1662681600,2872
2022-09-10,1662768000,3375
2022-09-11,1662854400,3138
2022-09-12,1662940800,2424
2022-09-13,1663027200,2879
2022-09-14,1663113600,2933
2022-09-15,1663200000,2528
2022-09-16,1663286400,3127
2022-09-17,1663372800,3383
2022-09-18,1663459200,3086
2022-09-19,1663545600,2265
2022-09-20,1663632000,2575
2022-09-21,1663718400,2345
2022-09-22,1663804800,2585
2022-09-23,1663891200,3018
2022-09-24,1663977600,3660
2022-09-25,1664064000,2951
2022-09-26,1664150400,2138
2022-09-27,1664236800,2421
2022-09-28,1664323200,2949
2022-09-29,1664409600,2876
2022-09-30,1664496000,3208
2022-10-01,1664582400,3156
2022-10-02,1664668800,2864
2022-10-03,1664755200,1976
2022-10-04,1664841600,1993
2022-10-05,1664928000,1995
2022-10-06,1665014400,2052
2022-10-07,1665100800,2627
2022-10-08,1665187200,2781
2022-10-09,1665273600,2326
2022-10-10,1665360000,1844
2022-10-11,1665446400,1850
2022-10-12,1665532800,1996
2022-10-13,1665619200,2210
2022-10-14,1665705600,2460
2022-10-15,1665792000,2761
2022-10-16,1665878400,2421
2022-10-17,1665964800,1637
2022-10-18,1666051200,1809
2022-10-19,1666137600,2211
2022-10-20,1666224000,2100
2022-10-21,1666310400,2700
2022-10-22,1666396800,2976
2022-10-23,1666483200,2699
2022-10-24,1666569600,1625
2022-10-25,1666656000,1922
2022-10-26,1666742400,2368
2022-10-27,1666828800,2064
2022-10-28,1666915200,2743
2022-10-29,1667001600,3237
2022-10-30,1667088000,2584
2022-10-31,1667174400,1987
2022-11-01,1667260800,2367
2022-11-02,1667347200,2944
2022-11-03,1667433600,2420
2022-11-04,1667520000,2818
2022-11-05,1667606400,3006
2022-11-06,1667692800,2962
2022-11-07,1667779200,2065
2022-11-08,1667865600,2173
2022-11-09,1667952000,2571
2022-11-10,1668038400,2493
2022-11-11,1668124800,2616
2022-11-12,1668211200,2906
2022-11-13,1668297600,2435
2022-11-14,1668384000,2024
2022-11-15,1668470400,1929
2022-11-16,1668556800,2529
2022-11-17,1668643200,2335
2022-11-18,1668729600,2755
2022-11-19,1668816000,3081
2022-11-20,1668902400,2851
2022-11-21,1668988800,1992
2022-11-22,1669075200,2281
2022-11-23,1669161600,2349
2022-11-24,1669248000,2323
2022-11-25,1669334400,2697
2022-11-26,1669420800,2884
2022-11-27,1669507200,2518
2022-11-28,1669593600,1907
2022-11-29,1669680000,2079
2022-11-30,1669766400,2178
2022-12-01,1669852800,2454
2022-12-02,1669939200,2408
2022-12-03,1670025600,3173
2022-12-04,1670112000,2591
2022-12-05,1670198400,1876
2022-12-06,1670284800,1942
2022-12-07,1670371200,2123
2022-12-08,1670457600,2469
2022-12-09,1670544000,2421
2022-12-10,1670630400,3016
2022-12-11,1670716800,2396
2022-12-12,1670803200,1752
2022-12-13,1670889600,2003
2022-12-14,1670976000,2806
2022-12-15,1671062400,2739
2022-12-16,1671148800,2848
2022-12-17,1671235200,3514
2022-12-18,1671321600,3193
2022-12-19,1671408000,2270
2022-12-20,1671494400,3262
2022-12-21,1671580800,3856
2022-12-22,1671667200,3710
2022-12-23,1671753600,4116
2022-12-24,1671840000,3877
2022-12-25,1671926400,2468
2022-12-26,1672012800,2627
2022-12-27,1672099200,3135
2022-12-28,1672185600,4087
2022-12-29,1672272000,3999
2022-12-30,1672358400,3804
2022-12-31,1672444800,1887
2023-01-01,1672531200,1313
2023-01-02,1672617600,2803
2023-01-03,1672704000,3045
2023-01-04,1672790400,3331
2023-01-05,1672876800,3010
2023-01-06,1672963200,1937
2023-01-07,1673049600,2238
2023-01-08,1673136000,3075
2023-01-09,1673222400,3365
2023-01-10,1673308800,3413
2023-01-11,1673395200,3555
2023-01-12,1673481600,2842
2023-01-13,1673568000,3175
2023-01-14,1673654400,3280
2023-01-15,1673740800,3139
2023-01-16,1673827200,2538
2023-01-17,1673913600,2656
2023-01-18,1674000000,2649
2023-01-19,1674086400,2066
2023-01-20,1674172800,2557
2023-01-21,1674259200,3210
2023-01-22,1674345600,2815
2023-01-23,1674432000,1968
2023-01-24,1674518400,2310
2023-01-25,1674604800,2760
2023-01-26,1674691200,2344
2023-01-27,1674777600,2571
2023-01-28,1674864000,2974
2023-01-29,1674950400,3009
2023-01-30,1675036800,1931
2023-01-31,1675123200,2418
2023-02-01,1675209600,2580
2023-02-02,1675296000,2492
2023-02-03,1675382400,2500
2023-02-04,1675468800,2820
2023-02-05,1675555200,2463
2023-02-06,1675641600,1896
2023-02-07,1675728000,2147
2023-02-08,1675814400,2370
2023-02-09,1675900800,2255
2023-02-10,1675987200,2629
2023-02-11,1676073600,3126
2023-02-12,1676160000,2712
2023-02-13,1676246400,2080
2023-02-14,1676332800,2067
2023-02-15,1676419200,2464
2023-02-16,1676505600,2523
2023-02-17,1676592000,2641
2023-02-18,1676678400,3102
2023-02-19,1676764800,2576
2023-02-20,1676851200,1976
2023-02-21,1676937600,2046
2023-02-22,1677024000,2625
2023-02-23,1677110400,2369
2023-02-24,1677196800,2670
2023-02-25,1677283200,2528
2023-02-26,1677369600,2439
2023-02-27,1677456000,2040
2023-02-28,1677542400,2036
2023-03-01,1677628800,1649
2023-03-02,1677715200,1820
2023-03-03,1677801600,2239
2023-03-04,1677888000,2320
2023-03-05,1677974400,2212
2023-03-06,1678060800,1587
2023-03-07,1678147200,1475
2023-03-08,1678233600,1821
2023-03-09,1678320000,1545
2023-03-10,1678406400,2348
2023-03-12,1678579200,2440
2023-03-13,1678665600,1596
2023-03-14,1678752000,1691
2023-03-15,1678838400,1814
2023-03-16,1678924800,1821
2023-03-17,1679011200,2222
2023-03-18,1679097600,2496
2023-03-19,1679184000,2706
